MMSI,DepartureTime,LATd,LONd,ArrivalTime,LATa,LONa,AVGSPDkmph,DistanceKm,VesselType,Length,Width,Draft
210167000,2018-09-20 13:46:00,60.41855,26.91433,2018-09-21 4:19:00,59.8709,30.20807,14.34,208.64,70.00,141.00,20.00,7.30
210167000,2018-09-26 18:41:00,60.4184,26.91473,2018-09-28 9:15:00,59.87083,30.20808,8.03,309.6,70.00,141.00,20.00,7.30
210053000,2018-09-16 18:28:00,58.76503,17.82636,2018-09-19 5:30:00,59.92861,29.77137,12.21,720.98,70.00,105.00,15.00,6.00
210047000,2017-12-24 6:54:00,54.36991,10.10825,2017-12-27 15:03:00,59.93724,29.69032,18.42,1476.15,70.00,109.00,15.00,5.90
210035000,2018-05-28 13:23:00,54.36586,10.14042,2018-05-31 13:51:00,59.87005,30.21073,20.26,1468.6,70.00,151.00,23.00,8.00
210035000,2018-06-24 21:14:00,54.36571,10.14155,2018-06-27 14:11:00,60.0048,29.71521,22.1,1435.68,70.00,151.00,23.00,8.00
210035000,2017-11-17 10:11:00,54.36563,10.14206,2017-11-20 16:50:00,59.8923,30.22621,18.64,1466.18,70.00,151.00,23.00,8.00
210035000,2018-08-27 13:05:00,54.36573,10.14406,2018-09-13 15:55:00,59.87099,30.20761,3.6,1481.96,70.00,151.00,23.00,8.00
210035000,2018-09-27 16:44:00,54.36641,10.14047,2018-09-30 4:22:00,59.86994,30.21128,24.5,1460.93,70.00,151.00,23.00,8.00
210008000,2018-01-05 0:56:00,54.36594,10.14078,2018-01-07 8:46:00,60.00482,29.71533,25.72,1436.16,70.00,140.00,22.00,7.30
209792000,2018-05-25 12:24:00,54.53284,10.30149,2018-05-31 16:32:00,59.87416,30.19658,10.22,1515.1,70.00,151.00,23.00,8.50
209792000,2018-06-19 13:05:00,54.36589,10.14001,2018-06-22 16:42:00,59.87332,30.19825,19.47,1472.09,70.00,151.00,23.00,8.50
209792000,2018-07-05 20:21:00,59.49103,24.96835,2018-07-06 16:05:00,59.87406,30.19676,16.7,329.5,70.00,151.00,23.00,8.50
209792000,2018-10-16 8:51:00,54.36643,10.14013,2018-10-19 3:56:00,59.88248,30.19039,21.73,1457.63,70.00,151.00,23.00,8.50
209777000,2017-11-08 22:09:00,54.36585,10.14325,2017-11-17 14:51:00,59.88244,30.19039,7.58,1581.48,70.00,184.00,25.00,9.90
209777000,2018-06-09 13:31:00,54.36638,10.14075,2018-06-12 14:47:00,59.87096,30.20748,20.16,1476.99,70.00,184.00,25.00,9.90
209777000,2018-06-21 2:14:00,54.36639,10.14072,2018-06-24 2:33:00,59.87093,30.20757,20.42,1476.92,70.00,184.00,25.00,9.90
209207000,2017-12-14 6:33:00,54.36608,10.14286,2017-12-17 3:31:00,59.88681,30.20054,21.18,1460.58,70.00,100.00,18.00,6.50
209662000,2017-11-22 8:31:00,60.01556,23.92767,2017-11-23 5:10:00,59.92853,29.77129,18.29,377.67,70.00,89.00,13.00,5.70
209590000,2018-08-10 10:08:00,55.67431,21.14349,2018-08-12 4:25:00,59.87401,30.19681,22.3,943.05,70.00,147.00,23.00,7.50
209350000,2017-11-05 2:49:00,55.70143,12.60139,2017-11-08 3:25:00,59.88081,30.19915,18.09,1313.68,70.00,125.00,21.00,7.80
210605000,2018-09-22 10:30:00,54.36525,10.14393,2018-09-25 2:19:00,59.887,30.20045,22.87,1459.18,70.00,132.00,18.00,7.30
210605000,2018-09-30 5:11:00,54.36643,10.14005,2018-10-06 15:06:00,59.87028,30.2094,9.6,1477.4,70.00,132.00,18.00,7.30
210605000,2017-11-25 5:22:00,54.36578,10.1442,2017-11-27 15:02:00,59.88687,30.20039,25.37,1463.23,70.00,132.00,18.00,7.30
210585000,2017-11-24 14:28:00,54.36624,10.14039,2017-11-27 3:06:00,59.8921,30.22588,24.19,1466.47,70.00,151.00,23.00,8.00
210585000,2017-12-22 17:28:00,54.36579,10.13974,2017-12-25 3:39:00,59.89231,30.22594,25.21,1466.9,70.00,151.00,23.00,8.00
210521000,2017-11-01 15:42:00,54.54409,18.51169,2017-11-04 2:51:00,59.88076,30.19925,20.17,1192.83,70.00,138.00,21.00,7.80
210521000,2017-11-08 2:48:00,54.38711,18.71845,2017-11-11 3:19:00,59.88003,30.20087,16.48,1195.36,70.00,138.00,21.00,7.80
210521000,2017-11-14 21:46:00,54.38718,18.71843,2017-11-17 5:49:00,59.87408,30.19728,20,1121.45,70.00,138.00,21.00,7.80
210474000,2018-01-13 12:34:00,54.36548,10.14278,2018-01-17 17:22:00,59.87013,30.21064,14.6,1471.24,70.00,87.00,13.00,4.70
210359000,2018-07-10 12:53:00,54.54418,18.51133,2018-08-01 16:05:00,59.87327,30.19849,5.05,2679.96,70.00,151.00,23.00,8.00
210359000,2018-08-05 14:26:00,55.67418,21.14357,2018-08-08 3:51:00,59.87408,30.20073,15.03,923.26,70.00,151.00,23.00,8.00
210359000,2018-08-11 12:44:00,55.67427,21.14355,2018-08-13 4:07:00,59.87407,30.1967,23.4,921.65,70.00,151.00,23.00,8.00
210248000,2018-09-30 20:42:00,54.3863,18.71707,2018-10-04 3:52:00,59.87105,30.2075,13.98,1106.59,70.00,141.00,20.00,7.30
210248000,2018-10-08 17:32:00,54.54438,18.5113,2018-10-11 14:52:00,59.8802,30.20083,15.92,1103.85,70.00,141.00,20.00,7.30
